pp;couple;partner;condition;leuk;vriendelijk;aardig;aangenaam;fijn;vertrouwen;sympathie;graag;band;gemoed;responsief;invloed;opmerken;bewust;niet_alleen;chameleon;positive_perception;bond;copresence
12;6;2;2;7.0;7.0;7.0;7.0;7.0;5.0;6.0;7.0;4.0;5.0;5.006;5.0;6.0;7.0;7.0;1;35.0;23.0;30.006
13;7;1;2;5.014;4.034;4.025;5.099;5.082;5.521;4.008;4.532;4.515;4.042;5.073;4.034;6.087;6.121;6.434;1;23.254;18.102999999999998;27.749
14;7;2;2;5.024;6.054;6.717;5.0;4.578;6.03;3.048;2.988;5.012;3.518;4.03;4.5;6.024;5.982;7.0;0;27.372999999999998;15.584;27.536
15;8;1;2;6.121;6.079;6.206;6.062;6.011;5.572;6.104;5.361;5.597;5.107;4.169;4.101;5.842;6.045;5.969;0;30.479;22.144000000000002;26.125999999999998
16;8;2;2;6.904;6.934;6.952;6.795;6.807;6.139;6.084;6.048;7.0;6.06;6.03;5.06;5.09;5.066;5.06;0;34.392;24.331000000000003;26.305999999999997
17;9;1;2;5.572;6.079;5.513;5.031;5.056;5.58;4.575;5.563;4.025;2.969;4.051;3.003;2.969;4.0;3.992;0;27.251;18.686999999999998;18.015
18;9;2;2;4.392;4.006;4.88;5.313;4.596;3.482;4.392;5.428;3.795;3.404;3.651;3.289;3.199;5.241;4.675;1;23.186999999999998;16.706;20.055
19;10;1;2;4.997;6.096;7.0;6.054;5.065;3.975;4.0;4.997;3.983;5.006;5.056;7.0;7.0;7.0;6.146;1;29.212;17.978;32.202
20;10;2;2;4.53;4.536;4.524;4.006;4.536;4.518;5.006;4.512;4.072;4.072;4.548;4.072;5.036;5.108;5.036;0;22.131999999999998;18.108;23.799999999999997
21;11;1;2;4.018;5.09;4.048;5.048;4.012;3.964;3.048;4.0;3.958;4.964;1.904;1.855;1.886;4.952;6.06;0;22.216;15.976;16.657
22;11;2;2;4.938;6.003;5.513;6.062;6.104;5.361;6.02;6.062;6.079;2.969;1.997;2.555;6.146;6.087;6.07;0;28.62;20.412;22.855
23;12;2;2;5.0;6.0;5.494;5.633;6.06;5.494;4.584;5.03;4.596;3.639;2.434;2.006;1.988;2.066;4.602;1;28.186999999999998;18.747;13.096
24;12;1;2;6.028;5.073;5.082;4.068;4.008;4.963;4.076;6.02;4.051;6.07;2.961;2.977;4.608;4.558;3.552;0;24.258999999999997;21.129;18.656
25;13;2;2;5.735;5.687;5.831;5.633;6.006;6.024;5.988;6.024;3.982;2.036;1.892;1.922;1.958;3.976;3.952;0;28.892;20.072000000000003;13.700000000000001
26;13;1;2;4.414;5.606;6.045;5.386;6.062;5.006;4.515;6.163;4.076;5.842;3.425;3.054;4.152;5.411;6.561;1;27.512999999999998;21.526;22.603
27;14;1;2;4.0;6.163;6.189;6.366;4.237;2.952;5.048;3.273;5.428;2.994;4.87;5.259;7.0;7.0;7.0;0;26.955;14.267;31.129
28;14;2;2;4.23;3.664;2.516;4.131;3.377;1.041;1.0;1.926;1.156;4.82;3.566;4.746;3.402;4.557;6.836;0;17.918;8.787;23.107
29;15;1;2;3.256;3.451;3.087;4.98;3.358;2.927;5.006;4.127;5.268;3.028;4.71;3.975;5.792;6.493;6.561;0;18.132;15.088000000000001;27.531
30;15;2;2;2.066;3.115;3.025;3.352;3.344;1.902;1.59;4.352;1.918;6.09;5.049;6.18;5.131;4.648;5.09;1;14.902;13.934000000000001;26.098
31;16;2;2;7.0;7.0;7.0;6.918;7.0;6.762;6.836;6.811;6.631;4.992;6.68;6.221;6.262;6.262;6.254;0;34.918;25.401;31.679000000000002
32;16;1;2;5.056;5.614;5.538;4.659;5.251;5.496;4.946;5.47;4.017;2.2;4.025;2.927;4.389;5.166;5.141;1;26.118;18.112;21.648000000000003
33;17;1;2;5.859;6.493;6.628;6.079;5.977;6.358;5.741;6.265;3.899;3.282;2.031;1.406;5.006;5.885;6.51;0;31.036;21.646;20.838
34;17;2;2;5.057;6.23;6.352;6.066;6.197;4.148;4.082;6.066;5.107;4.197;6.205;4.762;5.59;5.705;6.148;0;29.902;18.493;28.41
35;18;1;2;5.082;5.707;5.048;5.58;5.631;5.479;5.521;5.868;5.927;6.011;5.462;5.901;6.104;6.011;6.096;0;27.048000000000002;22.878999999999998;29.573999999999998
36;18;2;2;6.156;6.541;6.377;6.443;6.492;6.344;6.533;6.148;4.09;5.008;2.975;2.934;4.336;6.385;6.557;1;32.00899999999999;24.033;23.187000000000005
